scenario,eligible_customers,model_weighted_expected_churners,expected_reached_customers,expected_offer_acceptors,expected_customers_saved,contact_cost,expected_offer_cost,total_campaign_cost,expected_retained_gross_margin,estimated_net_benefit,estimated_roi,cost_per_expected_save,reach_rate,acceptance_rate,incremental_save_rate,retention_horizon_months,gross_margin_rate,contact_cost_per_target,offer_cost_multiplier
Conservative,947,502.2451734918709,568.1999999999999,198.86999999999998,26.36787160832322,3788.0,12484.080000000002,16272.080000000002,8228.17713536595,-8043.902864634052,-0.4943377161760544,617.1176893497766,0.6,0.35,0.25,6,0.7,4.0,1.2
Base,947,502.2451734918709,710.25,355.125,65.91967902080805,3788.0,18577.5,22365.5,41140.88567682974,18775.38567682974,0.83947980938632,339.2841156423131,0.75,0.5,0.35,12,0.7,4.0,1.0
Optimistic,947,502.2451734918709,804.9499999999999,523.2175,138.74522917712935,3788.0,24633.765,28421.765,129887.65335113392,101465.88835113392,3.570006590059904,204.84859312686928,0.85,0.65,0.5,18,0.7,4.0,0.9
