scenario,eligible_customers,model_weighted_expected_churners,expected_reached_customers,expected_offer_acceptors,expected_customers_saved,contact_cost,expected_offer_cost,total_campaign_cost,expected_retained_gross_margin,estimated_net_benefit,estimated_roi,cost_per_expected_save,reach_rate,acceptance_rate,incremental_save_rate,retention_horizon_months,gross_margin_rate,contact_cost_per_target,offer_cost_multiplier,primary_intervention,recommended_action,success_measure,monthly_charge_exposure,cltv
Base,165,90.71612086497205,123.75,61.875,11.906490863527583,660.0,3093.75,3753.75,9015.856592289176,5262.106592289176,1.4018265980124345,315.26921265262376,0.75,0.5,0.35,12,0.7,4.0,1.0,Fiber quality and contract,Fiber diagnostics followed by a value-led contract-upgrade incentive,"Reliability, issue resolution, contract conversion, and churn versus control",14763.75,577307.0
Base,127,83.28034780073787,95.25,47.625,10.930545648846845,508.0,1905.0,2413.0,7425.293383759057,5012.293383759057,2.077204054603836,220.7575063056955,0.75,0.5,0.35,12,0.7,4.0,1.0,Early fiber assurance,"First-90-day fiber service-health check, rapid issue resolution, and plan review","Issue resolution, repeat contact, 90-day retention, and contract conversion",10200.7,414584.0
Base,319,170.40974745433743,239.25,119.625,22.36627935338179,1276.0,8971.875,10247.875,14878.176525634797,4630.301525634797,0.45183040636569016,458.1841636727352,0.75,0.5,0.35,12,0.7,4.0,1.0,High-value outreach,Dedicated retention specialist and personalized value-protection review,"Save rate, retained monthly charges, net benefit, and 90/180-day retention",24979.550000000003,1699817.0
Base,137,64.80474926611814,102.75,51.375,8.505623341178005,548.0,1284.375,1832.375,3309.1841214011924,1476.8091214011924,0.8059535419339341,215.43100681745227,0.75,0.5,0.35,12,0.7,4.0,1.0,Early onboarding,Structured 30/60/90-day onboarding support and service education,"Onboarding completion, early support resolution, and 90/180-day retention",6267.65,466991.0
Base,25,13.169206589543032,18.75,9.375,1.728458364877523,100.0,187.5,287.5,1434.4779416415613,1146.9779416415613,3.9894884926663003,166.33319369562716,0.75,0.5,0.35,12,0.7,4.0,1.0,Senior assistance,"Accessible bill review, assisted support, and service-fit consultation","Resolution, plan-fit improvement, satisfaction, and retention",2488.4,92077.0
Base,65,28.020927803121364,48.75,24.375,3.6777467741596785,260.0,1340.625,1600.625,2238.862790045265,638.2377900452648,0.3987428598486621,435.2189256873793,0.75,0.5,0.35,12,0.7,4.0,1.0,Competitor-response retention,"Personalized device, data, speed, or value response based on customer needs","Offer acceptance, save rate, incremental margin, and retention versus control",4672.050000000001,252278.0
Base,105,50.03924907016484,78.75,39.375,6.5676514404591355,420.0,1771.875,2191.875,2672.9998570005605,481.1248570005605,0.21950378420327823,333.7380218592674,0.75,0.5,0.35,12,0.7,4.0,1.0,Support bundle and contract,Time-limited premium-support bundle with a longer-contract value option,"Support activation, contract conversion, utilization, and retention",5016.6,416078.0
Base,4,1.8048246428761359,3.0,1.5,0.23688323437749279,16.0,22.5,38.5,166.03446505813577,127.53446505813577,3.3125835080035264,162.52733166690516,0.75,0.5,0.35,12,0.7,4.0,1.0,San Diego investigation,"Local network, acquisition, service, and competitor root-cause investigation","Reliability, complaints, resolved causes, and local churn trend",340.8,12487.0
