attribute,groups,recall_gap,false_positive_rate_gap,selection_rate_gap,minimum_group_size
age_group,5,0.2603448275862068,0.09452627909003748,0.1934306569343066,137
gender,2,0.06674732809034079,0.008091678304444266,0.04528705047572973,689
senior_citizen,2,0.13000111652834123,0.05858780858780857,0.17175190546339586,208
