attribute,group,customers,actual_churn_rate,selection_rate,precision,recall,false_positive_rate,true_negative_rate,balanced_accuracy,roc_auc,true_negatives,false_positives,false_negatives,true_positives
gender,Female,720,0.28194444444444444,0.38055555555555554,0.6386861313868614,0.8620689655172413,0.19148936170212766,0.8085106382978723,0.8352898019075568,0.8992577488542273,418,99,28,175
gender,Male,689,0.24818577648766327,0.3352685050798258,0.5887445887445888,0.7953216374269005,0.1833976833976834,0.8166023166023166,0.8059619770146086,0.8978640294429768,423,95,35,136
senior_citizen,No,1201,0.23064113238967526,0.33305578684429643,0.5525,0.7978339350180506,0.1937229437229437,0.8062770562770563,0.8020554956475534,0.8836169847000173,745,179,56,221
senior_citizen,Yes,208,0.46634615384615385,0.5048076923076923,0.8571428571428571,0.9278350515463918,0.13513513513513514,0.8648648648648649,0.8963499582056283,0.9420451379214265,96,15,7,90
age_group,19–29,274,0.2116788321167883,0.28832116788321166,0.5063291139240507,0.6896551724137931,0.18055555555555555,0.8194444444444444,0.7545498084291188,0.8586366538952745,177,39,18,40
age_group,30–44,391,0.23785166240409208,0.36061381074168797,0.5531914893617021,0.8387096774193549,0.21140939597315436,0.7885906040268457,0.8136501407231003,0.8846070578047196,235,63,15,78
age_group,45–59,391,0.23529411764705882,0.3350383631713555,0.5877862595419847,0.8369565217391305,0.1806020066889632,0.8193979933110368,0.8281772575250836,0.8983931947069942,245,54,15,77
age_group,60–69,216,0.3287037037037037,0.4074074074074074,0.6704545454545454,0.8309859154929577,0.2,0.8,0.8154929577464789,0.8864497328800388,116,29,12,59
age_group,70+,137,0.43795620437956206,0.48175182481751827,0.8636363636363636,0.95,0.11688311688311688,0.8831168831168831,0.9165584415584416,0.964935064935065,68,9,3,57
